"","X","id","names","popularity","preview_url","cluster","pc1","pc2"
"1",0,"1tPGSiwtvmMVAqmniJ7oHp","Sea Of Silence",39,"https://p.scdn.co/mp3-preview/4b77c40b289080cc6e5016cc39fde8f972b83953?cid=4a1a457d14c0445a96e7021a5523905b",3,-31.871287512408,7.07832786347463
"2",1,"1tpShM80HMT9vKjRiA3EzW","Merry Christmas Baby - Live",12,"https://p.scdn.co/mp3-preview/052fb458e56162f410e92793f11f3a6c1cd045a5?cid=4a1a457d14c0445a96e7021a5523905b",8,6.91104606309046,-0.640307443813819
"3",2,"1TPUbLdzpfgF7wrPEXIAAB","Don't You Need Somebody (feat. Enrique Iglesias, R. City, Serayah & Shaggy)",64,"https://p.scdn.co/mp3-preview/7e91506026ba3900f6394c9a4de82da77f204f79?cid=4a1a457d14c0445a96e7021a5523905b",8,6.62445858710142,1.65313650266735
"4",3,"1tQGRq2WOBXjL3JWdWMONg","You Don't Care for Me Enough to Cry",40,"https://p.scdn.co/mp3-preview/c305d06bef43a04f8768c99aa1c0de809e29a8c3?cid=4a1a457d14c0445a96e7021a5523905b",1,-13.73409897383,-4.38950880215258
"5",4,"1TqmZVIyeD4aN4Wa0wbnfy","Pure Morning",54,"https://p.scdn.co/mp3-preview/42be861caeeb76ac7b66b09f284218c61e547337?cid=4a1a457d14c0445a96e7021a5523905b",8,10.8135949785243,-10.3371155468077
"6",5,"1TquBahz02HCaxj8jy5tTo","Cab Deg",44,"https://p.scdn.co/mp3-preview/f3464ab234b07ec35e251970b874a078a6668487?cid=4a1a457d14c0445a96e7021a5523905b",2,0.108953931128606,11.1931799240584
"7",6,"1Tr4K5MU5XYE44umXGDndd","Once In A Lifetime",37,"https://p.scdn.co/mp3-preview/2fb67a5637d045875d2c12cd7be7ffe3a0c65d06?cid=4a1a457d14c0445a96e7021a5523905b",8,10.3421652589558,-4.1551309193015
"8",7,"1tRlCCMVLSVQrrN9PPgtf0","D'You Know What I Mean?",21,"https://p.scdn.co/mp3-preview/721b11ba6bd69378034c7b6ee6045aa5cb29b39b?cid=4a1a457d14c0445a96e7021a5523905b",2,17.1282049120332,0.485748551217014
"9",8,"1TScJLsDWzDVBFpCU5vJDo","Heiss",20,"https://p.scdn.co/mp3-preview/71d988f627707a18a1ad56539908b4eb7d01f6df?cid=4a1a457d14c0445a96e7021a5523905b",2,8.59664937860468,8.78269557897851
"10",9,"1TSjS0q24cPW2S4pYj2wEK","Nessun Dorma",26,"https://p.scdn.co/mp3-preview/d23983c39b4653c2e56310e415a92091afee18b8?cid=4a1a457d14c0445a96e7021a5523905b",8,-1.99226018423414,-8.39911782241837
