,acousticness,danceability,duration,energy,featured,followers,instrumentalness,key,liveness,loudness,mean_num_markets,mode,names,p1_acousticness,p1_danceability,p1_duration,p1_energy,p1_instrumentalness,p1_key,p1_liveness,p1_loudness,p1_mean_num_markets,p1_mode,p1_popularity,p1_tempo,p1_time_signature,p1_valence,p2_acousticness,p2_danceability,p2_duration,p2_energy,p2_instrumentalness,p2_key,p2_liveness,p2_loudness,p2_mean_num_markets,p2_mode,p2_popularity,p2_tempo,p2_time_signature,p2_valence,p3_acousticness,p3_danceability,p3_duration,p3_energy,p3_instrumentalness,p3_key,p3_liveness,p3_loudness,p3_mean_num_markets,p3_mode,p3_popularity,p3_tempo,p3_time_signature,p3_valence,p4_acousticness,p4_danceability,p4_duration,p4_energy,p4_instrumentalness,p4_key,p4_liveness,p4_loudness,p4_mean_num_markets,p4_mode,p4_popularity,p4_tempo,p4_time_signature,p4_valence,playlist_id,popularity,tempo,time_signature,total_tracks,valence
0,0.1325,0.6995,217744.5,0.592,False,14284402,4.615e-06,3.0,0.113,-5.026,33.58,0.0,Today's Top Hits,0.1325,0.6995,217744.5,0.592,4.615e-06,3.0,0.113,-5.026,35.8333333333,0.0,79.25,102.2015,4.0,0.491,0.0561,0.704,203782.0,0.656,0.0,7.0,0.122,-5.608,29.0,0.0,81.3076923077,104.066,4.0,0.482,0.06075,0.66,208953.5,0.653,1.35e-06,4.5,0.145,-6.5245,40.5,1.0,80.8333333333,123.9905,4.0,0.451,0.0575,0.724,212027.0,0.653,0.0,6.0,0.124,-5.445,29.6923076923,1.0,75.2307692308,110.991,4.0,0.418,5FJXhjdILmRA2z5bvz4nzf,79.12,102.2015,4.0,50,0.491
1,0.0318,0.7675,220976.5,0.5255,False,6061263,3.18e-05,3.0,0.107,-7.6295,37.86,1.0,RapCaviar,0.0318,0.7675,220976.5,0.5255,3.18e-05,3.0,0.107,-7.6295,40.5,1.0,74.9166666667,142.051,4.0,0.311,0.0823,0.804,216002.0,0.687,0.0,5.0,0.144,-5.894,37.6923076923,1.0,76.3076923077,111.963,4.0,0.393,0.0764,0.7865,261456.0,0.645,1.9e-06,1.0,0.1385,-6.041,35.4166666667,1.0,70.3333333333,133.5025,4.0,0.3785,0.0915,0.757,237840.0,0.655,0.0,5.0,0.151,-5.747,37.8461538462,1.0,68.1538461538,121.547,4.0,0.352,37i9dQZF1DX0XUsuxWHRQd,72.42,142.051,4.0,59,0.311
2,0.1334,0.7275,226361.5,0.606,True,2954185,0.0,4.5,0.1035,-5.6395,29.2,0.0,Are & Be,0.1334,0.7275,226361.5,0.606,0.0,4.5,0.1035,-5.6395,35.5833333333,0.0,74.8333333333,127.4455,4.0,0.4855,0.125,0.724,217787.0,0.588,1.05e-06,2.0,0.108,-6.442,33.4615384615,1.0,69.0,103.878,4.0,0.39,0.25,0.6445,254507.0,0.617,0.0,5.0,0.1135,-6.617,28.5833333333,1.0,64.4166666667,108.9425,4.0,0.548,0.325,0.542,225780.0,0.57,0.0,5.0,0.299,-6.778,19.6153846154,0.0,55.0,92.979,4.0,0.393,06CemleTteSalaVGVMbgFy,65.66,127.4455,4.0,50,0.4855
3,0.0254,0.582,214781.0,0.8185,False,2586720,8.265e-06,8.0,0.1665,-5.186,39.72,0.0,Rock This,0.0254,0.582,214781.0,0.8185,8.265e-06,8.0,0.1665,-5.186,45.3333333333,0.0,68.8333333333,123.4825,4.0,0.632,0.00877,0.481,214387.0,0.861,6.68e-05,4.0,0.214,-5.174,41.5384615385,1.0,60.3846153846,136.125,4.0,0.462,0.0023,0.476,224700.0,0.838,6.215e-06,5.0,0.09535,-5.0425,39.1666666667,1.0,62.8333333333,158.545,4.0,0.4145,0.00877,0.47,238924.0,0.791,7.92e-06,5.0,0.109,-5.796,33.2307692308,1.0,58.3076923077,100.043,4.0,0.379,0lbtgFu3JNKX77J5YOpW7n,62.46,123.4825,4.0,50,0.632
4,0.879,0.553,216173.0,0.317,False,2462696,0.00309,3.0,0.11,-11.527,34.4871794872,1.0,Afternoon Acoustic,0.879,0.553,216173.0,0.317,0.00309,3.0,0.11,-11.527,29.0,1.0,56.3684210526,124.858,4.0,0.313,0.834,0.5665,204318.0,0.2695,0.01623,5.5,0.1085,-11.167,31.55,1.0,54.05,97.2155,4.0,0.312,0.832,0.553,223640.0,0.308,0.00123,2.0,0.106,-12.188,41.6315789474,1.0,55.8947368421,107.747,4.0,0.3,0.706,0.5515,194235.0,0.334,1.205e-05,5.0,0.1115,-9.8535,35.85,1.0,51.15,117.9865,4.0,0.3495,16BpjqQV1Ey0HeDueNDSYz,54.3205128205,124.858,4.0,78,0.313
5,0.992,0.346,165558.0,0.0558,False,2704768,0.908,3.0,0.097,-24.901,45.6,0.0,Peaceful Piano,0.992,0.346,165558.0,0.0558,0.908,3.0,0.097,-24.901,39.24,0.0,59.8,116.941,4.0,0.158,0.992,0.365,156084.0,0.0733,0.916,7.0,0.109,-22.197,40.2,0.0,58.76,130.033,4.0,0.118,0.992,0.386,175304.0,0.0553,0.923,6.0,0.102,-22.44,50.2,0.0,59.52,106.265,4.0,0.107,0.991,0.331,177000.0,0.0434,0.919,6.0,0.104,-24.262,52.76,0.0,62.08,99.8,4.0,0.145,37i9dQZF1DX4sWSpwq3LiO,60.04,116.941,4.0,145,0.158
6,0.177,0.588,205333.0,0.634,False,7817,6.36e-05,5.0,0.115,-6.902,45.8,0.0,SXSW 2017: Daily Guide,0.177,0.588,205333.0,0.634,6.36e-05,5.0,0.115,-6.902,46.6153846154,0.0,56.6153846154,113.941,4.0,0.443,0.0648,0.62,224922.5,0.6815,0.0001925,7.5,0.1485,-5.3505,46.7857142857,1.0,58.7142857143,115.9685,4.0,0.5485,0.0507,0.6885,220093.5,0.7465,0.005467,6.0,0.08945,-5.4045,52.7142857143,1.0,49.0714285714,122.492,4.0,0.509,0.0607,0.4375,207968.0,0.834,0.009591,5.5,0.1075,-6.1835,37.1428571429,1.0,41.9285714286,131.8685,4.0,0.265,1LYK2ahDnbLnS4fddCFY7z,51.4909090909,113.941,4.0,55,0.443
7,0.571,0.5355,224380.0,0.5755,False,3168,8.255e-06,2.0,0.1375,-8.5635,35.9024390244,1.0,Lost In Austin: Country Music from SXSW,0.571,0.5355,224380.0,0.5755,8.255e-06,2.0,0.1375,-8.5635,48.1,1.0,38.95,119.9625,4.0,0.5715,0.184,0.465,203273.0,0.684,0.0,7.0,0.11,-7.47,32.0476190476,1.0,33.8095238095,121.191,4.0,0.454,0.19285,0.495,204407.0,0.6795,0.0001315,7.5,0.1185,-7.586,30.5,1.0,29.6,137.151,4.0,0.5405,0.253,0.488,221480.0,0.496,0.000135,6.0,0.11,-8.943,33.2857142857,1.0,28.9047619048,121.728,4.0,0.47,5JdIoXkjfuyWmDdDnznmq1,32.7804878049,119.9625,4.0,82,0.5715
8,0.497,0.513,222293.0,0.532,False,23345,0.000825,7.0,0.11,-8.652,39.3205128205,1.0,Roots Rising,0.497,0.513,222293.0,0.532,0.000825,7.0,0.11,-8.652,37.7368421053,1.0,48.6842105263,108.003,4.0,0.375,0.7485,0.5125,232541.0,0.3065,0.00474,4.0,0.1145,-11.061,34.45,1.0,46.85,118.075,4.0,0.267,0.352,0.535,216652.0,0.507,7.06e-05,5.0,0.116,-8.764,37.3157894737,1.0,38.6315789474,108.211,4.0,0.339,0.433,0.505,197624.5,0.4465,0.0029135,7.0,0.112,-8.093,47.6,1.0,41.15,125.164,4.0,0.338,1Cwk9fAWB4fx8cchvdmjco,43.8333333333,108.003,4.0,78,0.375
9,0.488,0.497,213607.0,0.372,False,2597,7.69e-05,5.0,0.11,-8.701,36.7636363636,1.0,Women of SXSW,0.488,0.497,213607.0,0.372,7.69e-05,5.0,0.11,-8.701,47.6923076923,1.0,50.8461538462,118.836,4.0,0.23,0.1905,0.5155,213158.0,0.558,0.006185,5.0,0.1265,-7.7065,20.6428571429,1.0,42.2857142857,114.9275,4.0,0.2785,0.284,0.598,199833.0,0.679,0.000423,6.5,0.116,-7.1365,38.5714285714,1.0,35.7142857143,113.652,4.0,0.4625,0.0509,0.5995,214693.5,0.6155,0.002017,3.0,0.136,-7.4895,40.9285714286,1.0,42.0,134.55,4.0,0.461,55kQDx01by7B3GlpbQqbPA,42.5636363636,118.836,4.0,55,0.23
10,0.0807,0.827,195012.0,0.627,False,13884,0.0,4.0,0.1035,-5.2265,55.4,0.0,SXSW: HipHopUpNext,0.0807,0.827,195012.0,0.627,0.0,4.0,0.1035,-5.2265,50.5,0.0,64.5,142.994,4.0,0.535,0.1555,0.834,231732.5,0.54,8.3e-07,3.0,0.10115,-7.222,50.5,0.0,58.6666666667,113.105,4.0,0.423,0.12655,0.762,195310.5,0.5305,1.8555e-05,2.5,0.133,-7.6275,59.8333333333,1.0,56.3333333333,103.007,4.0,0.3095,0.365,0.65,173024.0,0.58,0.0,8.0,0.148,-6.493,60.0,0.0,48.1428571429,133.921,4.0,0.661,7bGK4IctnduRjCctagIVRY,56.56,142.994,4.0,25,0.535
11,0.07475,0.705,221780.5,0.739,True,1342899,6.05e-07,1.0,0.112,-4.4875,33.98,0.5,TGIF,0.07475,0.705,221780.5,0.739,6.05e-07,1.0,0.112,-4.4875,26.1666666667,0.5,84.1666666667,109.0645,4.0,0.4205,0.191,0.7,219160.0,0.763,0.0,4.0,0.12,-4.649,36.8461538462,1.0,80.0,101.965,4.0,0.522,0.1049,0.6735,213529.0,0.66,1.065e-05,7.0,0.1365,-6.576,35.6666666667,0.5,77.8333333333,107.008,4.0,0.48,0.168,0.694,205227.0,0.729,0.0,4.0,0.15,-5.929,36.7692307692,0.0,73.3846153846,104.95,4.0,0.511,2JkjXscXs35c5wKE5ZeaYK,78.76,109.0645,4.0,50,0.4205
12,0.1985,0.581,229101.0,0.697,False,3115,0.0005965,1.5,0.1055,-7.457,39.8431372549,1.0,SXSW UK Rising,0.1985,0.581,229101.0,0.697,0.0005965,1.5,0.1055,-7.457,48.1666666667,1.0,53.5833333333,135.8595,4.0,0.4205,0.05,0.56,206560.0,0.77,0.00192,5.0,0.109,-6.647,41.6923076923,1.0,40.1538461538,127.044,4.0,0.365,0.0479,0.529,199160.0,0.594,0.00182,4.0,0.149,-8.035,46.8461538462,1.0,38.7692307692,116.955,4.0,0.516,0.0599,0.439,214547.0,0.79,0.0209,6.0,0.124,-6.222,23.3076923077,1.0,29.8461538462,122.676,4.0,0.345,7m3bWy79qg62F3Oq37shXU,40.3333333333,135.8595,4.0,51,0.4205
13,0.8485,0.19,338118.0,0.2325,False,475,0.8965,5.5,0.09455,-15.766,52.1818181818,1.0,ExperiWOMENtell,0.8485,0.19,338118.0,0.2325,0.8965,5.5,0.09455,-15.766,52.625,1.0,23.75,117.14,4.0,0.0395,0.958,0.199,242698.0,0.2135,0.8775,5.0,0.1045,-14.189,54.75,0.0,26.625,81.8555,4.0,0.0663,0.88,0.297,246440.0,0.263,0.8845,3.5,0.12,-16.1185,52.625,0.5,18.375,95.636,4.0,0.1239,0.315,0.45,335400.0,0.521,0.805,5.0,0.135,-13.29,49.1111111111,1.0,22.7777777778,114.866,4.0,0.179,2rr9eECeQkDqgwovo3LPD8,22.8787878788,117.14,4.0,33,0.0395
