"","X","acousticness","artists","danceability","duration","energy","id","instrumentalness","key","liveness","loudness","mode","names","popularity","preview_url","speechiness","tempo","time_signature","valence","cluster","pc1","pc2","membership.1","membership.2","membership.3","membership.4","membership.5","membership.6","membership.7"
"1",0,0.987,"Deep Divers",0.239,331843,0.0107,"1tPGSiwtvmMVAqmniJ7oHp",0.916,7,0.0912,-29.827,0,"Sea Of Silence",39,"https://p.scdn.co/mp3-preview/4b77c40b289080cc6e5016cc39fde8f972b83953?cid=4a1a457d14c0445a96e7021a5523905b",0.0315,100.031,4,0.138,1,-4.66393713353791,-1.61093553450547,0.945298193841105,0.00873719317452324,0.00873719462826233,0.0110158366065537,0.0087371931767931,0.00873719462803983,0.00873719394472241
"2",1,0.201,"Sheryl Crow",0.608,238733,0.938,"1tpShM80HMT9vKjRiA3EzW",0.00407,2,0.966,-4.544,1,"Merry Christmas Baby - Live",12,"https://p.scdn.co/mp3-preview/052fb458e56162f410e92793f11f3a6c1cd045a5?cid=4a1a457d14c0445a96e7021a5523905b",0.198,96.064,4,0.756,2,1.60484486066025,1.79647519087014,0.0285793144131366,0.177821666662229,0.177821658929363,0.0823123718455543,0.17782166665009,0.177821658930571,0.177821662569056
"3",2,0.247,"RedOne",0.69,207720,0.702,"1TPUbLdzpfgF7wrPEXIAAB",0,11,0.262,-6.103,1,"Don't You Need Somebody (feat. Enrique Iglesias, R. City, Serayah & Shaggy)",64,"https://p.scdn.co/mp3-preview/7e91506026ba3900f6394c9a4de82da77f204f79?cid=4a1a457d14c0445a96e7021a5523905b",0.0901,92.996,4,0.592,2,1.44106547585946,0.399149492919715,0.00612107209436755,0.197002582895497,0.197002530007096,0.00886614727624324,0.197002582813171,0.197002530014884,0.197002554898741
"4",3,0.861,"John Moreland",0.389,254619,0.208,"1tQGRq2WOBXjL3JWdWMONg",7.76e-06,2,0.192,-11.669,1,"You Don't Care for Me Enough to Cry",40,"https://p.scdn.co/mp3-preview/c305d06bef43a04f8768c99aa1c0de809e29a8c3?cid=4a1a457d14c0445a96e7021a5523905b",0.0359,90.346,4,0.227,1,-1.7068340190808,-0.339884813819724,0.227416984223138,0.146647669111957,0.146647696276385,0.0393446014407475,0.146647669154684,0.146647696272256,0.146647683520832
"5",4,0.0372,"Placebo",0.387,254760,0.898,"1TqmZVIyeD4aN4Wa0wbnfy",4.04e-05,8,0.11,-6.835,1,"Pure Morning",54,"https://p.scdn.co/mp3-preview/42be861caeeb76ac7b66b09f284218c61e547337?cid=4a1a457d14c0445a96e7021a5523905b",0.0675,81.354,4,0.197,2,0.781115409340226,-1.11829879687453,0.0140104714135744,0.19537395935544,0.195373930127469,0.00911980575757253,0.195373959310294,0.195373930131696,0.195373943903954
"6",5,0.725,"Good Morning",0.645,240000,0.922,"1TquBahz02HCaxj8jy5tTo",0.877,4,0.184,-5.333,0,"Cab Deg",44,"https://p.scdn.co/mp3-preview/f3464ab234b07ec35e251970b874a078a6668487?cid=4a1a457d14c0445a96e7021a5523905b",0.0289,126.31,4,0.831,2,0.74636428850017,-0.419751023327104,0.0288021540000947,0.190638355695307,0.190638342529223,0.0180061008365476,0.190638355674898,0.190638342531668,0.190638348732261
"7",6,0.0623,"Talking Heads",0.646,259600,0.88,"1Tr4K5MU5XYE44umXGDndd",0.157,2,0.355,-7.753,1,"Once In A Lifetime",37,"https://p.scdn.co/mp3-preview/2fb67a5637d045875d2c12cd7be7ffe3a0c65d06?cid=4a1a457d14c0445a96e7021a5523905b",0.0637,116.916,4,0.804,2,1.71741765329015,0.35635307386551,0.00321489076016472,0.198367671227327,0.198367597732844,0.00494693910210654,0.198367671112287,0.19836759774373,0.198367632321541
"8",7,7.28e-05,"Oasis",0.316,463120,0.879,"1tRlCCMVLSVQrrN9PPgtf0",0.000176,11,0.103,-3.206,0,"D'You Know What I Mean?",21,"https://p.scdn.co/mp3-preview/721b11ba6bd69378034c7b6ee6045aa5cb29b39b?cid=4a1a457d14c0445a96e7021a5523905b",0.0422,80.036,4,0.235,2,0.224470659579184,-1.31547846655098,0.0509239650657954,0.182210264596023,0.182210264373556,0.0380247125068539,0.182210264595637,0.182210264373667,0.182210264488467
"9",8,0.000123,"Jay Robinson",0.804,358200,0.912,"1TScJLsDWzDVBFpCU5vJDo",0.829,3,0.0681,-7.863,0,"Heiss",20,"https://p.scdn.co/mp3-preview/71d988f627707a18a1ad56539908b4eb7d01f6df?cid=4a1a457d14c0445a96e7021a5523905b",0.0592,123.993,4,0.6,2,0.857143882788641,-0.441045187053837,0.0270332365845127,0.189887408386577,0.189887392617999,0.0235297613836187,0.189887408361836,0.189887392620237,0.189887400045219
"10",9,0.872,"Aretha Franklin",0.161,200600,0.409,"1TSjS0q24cPW2S4pYj2wEK",0.000679,8,0.705,-9.532,1,"Nessun Dorma",26,"https://p.scdn.co/mp3-preview/d23983c39b4653c2e56310e415a92091afee18b8?cid=4a1a457d14c0445a96e7021a5523905b",0.0335,80.348,4,0.11,1,-1.7073770970626,-0.25926117522694,0.179419108862174,0.144487955858411,0.144487975029576,0.0981410633177197,0.144487955888465,0.144487975026784,0.144487966016871
