,followers,mean_popularity,names,total_tracks
0,26,,This Is:  Johnny Cash,0
1,1684,34.86,This Is: Nina Simone,50
2,30879,63.8,This Is: Future,60
3,13455534,79.6,Today's Top Hits,50
4,5700064,72.42,Rap Caviar,50
5,3887584,60.26923076923077,electroNOW,52
6,2450273,51.486111111111114,Afternoon Acoustic,72
7,2571052,57.8,Peaceful Piano,149
8,1305485,75.2156862745098,TGIF,51
9,8321,45.22727272727273,The Refugee Playlist,22
10,293941,52.42857142857143,This Is: AC/DC,35
11,162934,60.94444444444444,This Is: Adele,18
12,3952,36.92307692307692,This Is: Al Green,26
13,1488,27.523809523809526,This Is: Aqua,21
14,7499,34.46875,This is: Aretha Franklin,32
15,4576,30.576923076923077,This is: Bee Gees,52
16,78645,36.68333333333333,This Is: blink-182,60
17,238,13.44,This is: Bronzeville,25
18,539005,67.28125,This Is: Bruno Mars,32
19,376,14.38,This is: Carole King,50
20,67,29.766666666666666,This Is: Dispatch,30
21,107584,49.0,This Is: George Michael,40
22,2631,30.18,This is: Gillian Welch,50
23,9126,59.833333333333336,This Is: James Arthur,18
24,15658,38.490566037735846,This is: Jamiroquai,53
25,44741,56.6,This Is: John Mayer,50
26,27445,50.27777777777778,This Is: John Legend,36
27,413707,57.08888888888889,This is: Justin Bieber,45
28,90836,48.075,This Is: Lady Gaga,40
29,18900,50.6,This Is: LANY,15
30,22624,39.32608695652174,This Is:  Miranda Lambert,92
31,25986,48.68571428571428,This Is: Muse,35
32,23869,37.6,This is: Neil Young,50
33,23649,41.78260869565217,This Is: New Edition,46
34,66139,57.26,This Is: One Direction,50
35,41476,47.4,This Is: OneRepublic,30
36,976,18.22,This is: Raffi,50
37,263231,52.1044776119403,This Is: Prince,67
38,12616,56.074074074074076,This Is: Rag'n'Bone Man,27
39,2858,21.903846153846153,This Is: Soundgarden,52
40,1682,20.023255813953487,This Is: Status Quo,43
41,1883,39.16,This is: Stevie Wonder,50
42,6752,33.98148148148148,This is: The Beach Boys,54
43,121441,44.72,This is: The Rolling Stones,50
44,710706,69.85365853658537,This Is: The Weeknd,41
45,26163,51.0,This Is:  Thomas Rhett,32
46,6862,55.074074074074076,This Is: Trey Songz,27
47,52888,42.693333333333335,This Is: Bob Dylan,75
48,13568,43.66,This Is: Bonobo,50
49,58191,50.24444444444445,This Is: Britney Spears,45
50,19403,38.827586206896555,This is: Bruce Springsteen,58
51,17552,30.055555555555557,This is: Cher,36
52,3065,22.36,This is: Chuck Berry,50
53,80199,54.53846153846154,This Is: Daft Punk,26
54,97050,44.733333333333334,This is: Eagles,45
55,46022,42.333333333333336,"This Is: Earth, Wind & Fire",24
56,35675,36.42857142857143,This is: Elton John,42
57,8394,41.0,This is: Emeli Sandé,22
58,34128,51.2,This is: Gorillaz,20
59,758748,65.46,This Is: Drake,50
60,28892,19.705882352941178,This is: Jerry Garcia,51
61,8671,32.22,This is: Joni Mitchell,50
62,123756,56.205882352941174,This Is: Little Mix,34
63,5391,31.235294117647058,This Is: London Grammar,17
64,26906,28.04,This is: Lou Reed,50
65,9185,49.611111111111114,This Is: Max Martin,36
66,7851,40.608695652173914,This is: Maxwell,23
67,152,18.666666666666668,This is: Margo Price,21
68,3839,31.963636363636365,This Is: Nick Cave,55
69,18236,52.9375,This is: Nickelback,32
70,76030,51.49090909090909,This Is: Radiohead,55
71,17036,31.34,This Is: R.E.M.,50
72,282277,63.02857142857143,This is: Rihanna,35
73,8112,31.42,This is: Roxette,50
74,10011,46.80555555555556,This Is: Sampha,36
75,11386,40.46666666666667,This Is: Skepta,30
76,26824,38.18604651162791,This is: Spice Girls,43
77,28923,36.02,This is: Sting,50
78,7582,45.61290322580645,This Is: Stormzy,31
79,6086,28.976744186046513,This is: Tina Turner,43
80,25290,33.45614035087719,This is: Tony Bennett,57
81,6346,31.057142857142857,This Is: Trentemøller,35
82,46073,40.4,This Is: U2,80
83,18801,29.25,This is: Van Morrison,48
84,33310,43.588235294117645,This is: Volbeat,34
85,2843,29.94871794871795,This is: Wiley,39
86,3899,12.766666666666667,This Is: The Fall,60
87,6609,15.766666666666667,Best of John Peel Sessions,60
88,55736,57.0,This Is: The xx,35
89,454,20.869565217391305,This Is: David Axelrod,23
90,2291806,56.72727272727273,Rock This,55
91,215798,46.72,New Noise,144
92,605717,50.345238095238095,Digging Now,84
93,704055,63.74,Rock Solid,50
94,37733,55.83,Best of 2016 Rock This,119
95,262142,35.64,MTV: 50 Greatest Indie Anthems of All Time,50
96,52022,61.63,Rock Party,107
97,2052291,54.81,Rock Classics,121
98,134451,40.7,You & Me,123
99,11270,38.0,This Is: Beastie Boys,33
100,88526,42.19,It's ALT Good!,108
101,268195,41.91860465116279,The Scene,86
102,305711,38.12,Rock Hard,113
103,4177,25.52,Big In Japan,50
104,1145,36.60526315789474,This Is: Ryan Adams,38
105,10384,33.02857142857143,This Is: The Black Keys,70
106,2706,37.529411764705884,This Is: Tom Petty,51
107,70355,39.51851851851852,This Is: Nirvana,54
108,9411,33.23529411764706,This Is: Ramones,34
109,51905,49.734375,This Is: Green Day,64
110,166951,48.298507462686565,This Is: Metallica,67
111,1136,26.075757575757574,This Is: Jane's Addiction,66
112,37457,17.023255813953487,This Is: Oasis,43
113,7639,14.584615384615384,This Is: Kiss,65
114,170794,39.44,Rock Save The Queen,103
115,137508,37.04,Dirty Rock,113
116,189434,45.705882352941174,One More Rep,85
117,317020,51.74,90s Rock Renaissance,158
118,394117,51.82,Soak Up The Sun,112
119,109191,46.27,License To Chill,163
120,218101,44.14,Rockin' Vibes,146
121,73500,44.984848484848484,Rock Ballads,66
122,185383,43.63,Totally Alternative,110
123,232884,48.71,Nu Metal,135
124,28506,42.78048780487805,Alternative Beats,82
125,11705,40.2,Take Note of These Covers,132
126,69017,29.52,Epic Wall of Sound,50
127,238741,49.037974683544306,Rock Me UP!,79
128,28400,34.92156862745098,All Things Post,51
129,190572,44.53,Emo Forever,100
130,20401,25.76,NYHC,50
131,90780,54.95,Rock Gaming,188
132,3432549,63.11764705882353,Hot Country,51
133,350444,53.98039215686274,New Boots,51
134,555365,51.80392156862745,Wild Country,51
135,672804,58.27450980392157,Country Gold,51
136,165516,40.94117647058823,Texas Red Dirt,51
137,201877,45.018181818181816,Country Coffeehouse,55
138,32376,32.96078431372549,Canadian Country,51
139,313379,53.888888888888886,Country Kind of Love,54
140,200124,50.3921568627451,Country Nights,51
141,603730,54.47826086956522,Chillin' on a Dirt Road,69
142,10771,16.833333333333332,This Is: Merle Haggard,72
143,187428,47.6,Country Icon,50
144,110630,34.870370370370374,New Traditions-Country Heroes,54
145,100751,37.68627450980392,It's a Southern Thing,51
146,75086,32.9,Field Party,50
147,1108,17.96,Classic Honky Tonk,50
148,72187,25.90566037735849,Alt-Country,53
149,893233,65.38,Signed XOXO,50
150,1080623,56.18333333333333,Most Necessary,60
151,1160734,45.65,Gold School,40
152,2291266,65.6375,Get Turnt,80
153,873614,59.87692307692308,"Love, Sex & Water",65
154,107644,43.733333333333334,African Heat,60
155,290198,57.98,Get Your Mind Right,50
156,275924,46.53333333333333,Dancehall Official,75
157,317869,53.68,Cali Fire,50
158,1612029,63.95918367346939,Power Workout,49
159,244873,52.5875,The Realest Down South,80
160,134067,48.31666666666667,State of Mind,60
